NAME,RUNID,EVENTID,START,EVENTMJD,I3TYPE,RA,DEC,RA_ERR_PLUS,RA_ERR_MINUS,DEC_ERR_PLUS,DEC_ERR_MINUS,ENERGY,FAR,SIGNAL,CASCADE_SCR,SKIMMING_SCR,START_SCR,STOP_SCR,THRGOING_SCR,CR_VETO,OTHER_I3TYPES
IC110514A,118178,17334444,2011-05-14 01:32:22.654109,55695.06415108922,gfu-gold,138.47,-1.94,6.68,3.78,0.97,1.12,187.0,1.3,0.508,3.46e-07,4.48e-07,0.0811,4.65e-05,0.919,FALSE,None
IC110610A,118309,46569873,2011-06-10 10:13:33.147086,55722.42607809128,gfu-gold,272.55,35.64,1.67,2.42,1.3,1.05,294.0,0.25,0.75,3.37e-10,3.99e-11,1.2e-06,0.000129,1.0,FALSE,gfu-bronze
IC110616A,118342,24578488,2011-06-16 17:30:53.939961,55728.72979097178,gfu-bronze,71.15,5.38,1.41,2.07,0.79,0.9,109.0,4.34,0.257,7.82e-09,1.32e-07,5.16e-05,1.83e-05,1.0,FALSE,None
IC110714A,118435,58198553,2011-07-14 02:42:41.855488,55756.11298443852,hese-gold,68.2,40.67,0.31,1.1,0.44,0.44,72.0,0.11,0.778,4.33e-05,1.1e-05,0.876,1.81e-05,0.124,FALSE,hese-bronze
IC110726A,118475,52691508,2011-07-26 12:15:33.258167,55768.51080159916,gfu-bronze,151.08,6.99,1.19,1.71,0.98,0.83,160.0,1.92,0.396,0.05,1.39e-06,0.946,0.000202,0.00382,FALSE,None
IC110807A,118539,54350726,2011-08-07 23:30:46.455764,55780.97970434913,gfu-bronze,336.8,1.53,1.36,1.98,0.93,0.78,108.0,4.45,0.266,6.02e-07,3.43e-08,0.00188,8.68e-05,0.998,FALSE,None
IC110818A,118576,45696357,2011-08-18 16:31:38.773427,55791.68864321097,gfu-bronze,332.45,-2.09,0.97,1.23,0.93,0.9,123.0,2.85,0.34,3.01e-06,5.15e-12,1.0,1.14e-09,3.38e-07,FALSE,None
IC110902A,118631,36844560,2011-09-02 02:12:46.331046,55806.09220290563,gfu-gold,9.76,7.59,2.86,1.32,0.87,0.86,243.0,0.74,0.609,2.21e-07,2.81e-07,0.00121,1.02e-05,0.999,FALSE,gfu-bronze
IC110907A,118660,61529737,2011-09-07 19:04:14.783520,55811.79461555,gfu-gold,196.08,9.4,3.91,2.68,1.55,1.06,186.0,1.15,0.506,6.13e-06,3.6e-09,1.0,9.41999999999999e-09,0.000146,FALSE,gfu-bronze
IC110929A,118738,995844,2011-09-29 06:15:04.217922,55833.26046548522,gfu-bronze,121.45,50.04,1.34,1.29,0.24,0.15,158.0,0.27,0.521,1.31e-06,9.41e-12,1.0,2.02e-10,1.45e-08,FALSE,None
IC110930A,118741,43101116,2011-09-30 10:40:59.790881,55834.44513646853,gfu-bronze,267.01,-4.44,1.19,1.14,0.6,0.79,160.0,1.53,0.429,4.21e-07,2.57e-10,1.0,1.2e-07,0.000362,FALSE,None
IC111012A,118778,61465314,2011-10-12 20:48:17.616683,55846.86687056347,gfu-bronze,172.13,44.7,1.4,1.39,0.79,0.45,115.0,0.57,0.434,9.51e-14,1.02e-07,8.37e-08,2e-09,1.0,FALSE,None
